"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,256","7,256","188","209","880","942","962","1,339","1,399","834","369","90","44","4,352","4,352","98","111","461","531","599","943","891","490","175","39","14","2,904","2,904","90","98","419","411","363","396","508","344","194","51","30"
"서울특별시 종로구 종로5.6가동(1111063000)","5,242","5,242","118","231","1,080","710","587","977","750","527","215","38","9","2,838","2,838","58","114","553","412","351","554","434","252","93","13","4","2,404","2,404","60","117","527","298","236","423","316","275","122","25","5"
"서울특별시 종로구 이화동(1111064000)","7,588","7,588","236","428","1,680","1,239","972","1,106","946","610","310","47","14","3,567","3,567","121","202","781","603","487","545","446","255","106","18","3","4,021","4,021","115","226","899","636","485","561","500","355","204","29","11"
"서울특별시 종로구 혜화동(1111065000)","16,799","16,799","689","1,313","4,483","2,079","2,295","2,304","1,631","1,250","636","98","21","8,089","8,089","329","660","2,208","1,106","1,097","1,112","785","504","251","30","7","8,710","8,710","360","653","2,275","973","1,198","1,192","846","746","385","68","14"
"서울특별시 종로구 창신제1동(1111067000)","5,129","5,129","127","245","609","539","637","1,114","1,030","546","229","44","9","2,775","2,775","63","132","333","312","328","624","602","275","85","20","1","2,354","2,354","64","113","276","227","309","490","428","271","144","24","8"
"서울특별시 종로구 창신제2동(1111068000)","8,318","8,318","245","507","1,166","894","1,103","1,833","1,383","811","309","53","14","4,283","4,283","140","260","629","519","570","979","698","337","127","21","3","4,035","4,035","105","247","537","375","533","854","685","474","182","32","11"
"서울특별시 종로구 창신제3동(1111069000)","6,925","6,925","381","530","966","961","957","1,290","1,001","540","240","47","12","3,398","3,398","207","256","521","467","464","630","496","244","83","20","10","3,527","3,527","174","274","445","494","493","660","505","296","157","27","2"
"서울특별시 종로구 숭인제1동(1111070000)","6,078","6,078","286","362","808","826","943","1,147","884","544","232","36","10","2,960","2,960","148","164","418","427","495","564","411","227","92","10","4","3,118","3,118","138","198","390","399","448","583","473","317","140","26","6"
"서울특별시 종로구 숭인제2동(1111071000)","9,691","9,691","269","350","2,092","1,561","1,261","1,677","1,346","755","309","54","17","4,909","4,909","136","176","863","857","712","914","716","376","131","22","6","4,782","4,782","133","174","1,229","704","549","763","630","379","178","32","11"
"서울특별시 중구 (1114000000)","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205","61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800","283","65","64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036","617","140"
"서울특별시 중구 소공동(1114052000)","2,069","2,069","166","113","219","419","449","307","235","106","40","10","5","1,027","1,027","92","35","91","204","241","159","131","55","15","3","1","1,042","1,042","74","78","128","215","208","148","104","51","25","7","4"
"서울특별시 중구 회현동(1114054000)","5,136","5,136","199","195","511","537","665","969","1,036","601","292","88","43","2,720","2,720","109","82","226","253","365","570","609","307","142","37","20","2,416","2,416","90","113","285","284","300","399","427","294","150","51","23"
"서울특별시 중구 명동(1114055000)","2,914","2,914","83","131","357","387","429","496","527","323","144","28","9","1,242","1,242","52","58","159","195","188","206","219","117","38","7","3","1,672","1,672","31","73","198","192","241","290","308","206","106","21","6"
"서울특별시 중구 필동(1114057000)","4,034","4,034","191","170","726","622","493","610","624","351","185","52","10","2,083","2,083","101","94","370","344","275","346","302","166","66","16","3","1,951","1,951","90","76","356","278","218","264","322","185","119","36","7"
"서울특별시 중구 장충동(1114058000)","4,664","4,664","183","290","1,256","664","564","594","516","379","185","30","3","2,359","2,359","99","141","673","347","302","300","250","168","69","10","0","2,305","2,305","84","149","583","317","262","294","266","211","116","20","3"
"서울특별시 중구 광희동(1114059000)","5,224","5,224","131","200","896","819","638","873","851","551","209","41","15","2,704","2,704","69","102","380","457","357","496","451","289","79","18","6","2,520","2,520","62","98","516","362","281","377","400","262","130","23","9"
"서울특별시 중구 을지로동(1114060500)","1,816","1,816","48","37","190","301","197","327","398","207","79","21","11","1,096","1,096","23","14","85","175","128","232","271","117","39","8","4","720","720","25","23","105","126","69","95","127","90","40","13","7"
"서울특별시 중구 신당동(1114061500)","7,692","7,692","276","288","1,367","1,308","1,055","1,394","1,025","665","248","58","8","3,849","3,849","122","148","652","666","573","744","514","309","103","15","3","3,843","3,843","154","140","715","642","482","650","511","356","145","43","5"
"서울특별시 중구 다산동(1114062500)","14,243","14,243","580","821","2,377","2,261","2,066","2,316","1,980","1,236","510","82","14","6,907","6,907","297","443","1,153","1,180","1,048","1,099","922","558","186","18","3","7,336","7,336","283","378","1,224","1,081","1,018","1,217","1,058","678","324","64","11"
"서울특별시 중구 약수동(1114063500)","17,128","17,128","1,118","958","2,022","2,424","2,464","2,845","2,677","1,645","813","153","9","8,066","8,066","544","490","1,013","1,143","1,227","1,353","1,232","722","294","44","4","9,062","9,062","574","468","1,009","1,281","1,237","1,492","1,445","923","519","109","5"
"서울특별시 중구 청구동(1114064500)","14,056","14,056","776","882","2,014","2,212","1,953","2,371","1,951","1,191","608","88","10","6,668","6,668","388","441","980","1,104","955","1,145","938","462","227","25","3","7,388","7,388","388","441","1,034","1,108","998","1,226","1,013","729","381","63","7"
"서울특별시 중구 신당제5동(1114065000)","10,527","10,527","576","548","1,676","1,747","1,548","1,877","1,322","841","330","49","13","5,122","5,122","287","277","775","884","787","986","636","359","115","16","0","5,405","5,405","289","271","901","863","761","891","686","482","215","33","13"
"서울특별시 중구 동화동(1114066500)","10,656","10,656","743","855","1,434","1,344","1,597","1,956","1,426","792","425","70","14","5,143","5,143","408","432","709","621","781","940","724","353","147","24","4","5,513","5,513","335","423","725","723","816","1,016","702","439","278","46","10"
"서울특별시 중구 황학동(1114067000)","12,583","12,583","737","517","2,088","2,803","1,831","1,781","1,516","906","341","54","9","6,004","6,004","383","257","874","1,380","900","907","737","432","116","18","0","6,579","6,579","354","260","1,214","1,423","931","874","779","474","225","36","9"
"서울특별시 중구 중림동(1114068000)","12,498","12,498","1,029","768","1,453","2,259","2,062","1,986","1,467","939","427","76","32","6,232","6,232","531","394","711","1,074","1,095","1,025","778","425","164","24","11","6,266","6,266","498","374","742","1,185","967","961","689","514","263","52","21"
"서울특별시 용산구 (1117000000)","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371","110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219","503","107","119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124","264"
"서울특별시 용산구 후암동(1117051000)","17,696","17,696","965","1,272","2,597","2,830","2,803","2,867","2,259","1,340","603","129","31","8,591","8,591","497","703","1,308","1,475","1,343","1,398","1,047","585","195","34","6","9,105","9,105","468","569","1,289","1,355","1,460","1,469","1,212","755","408","95","25"
"서울특별시 용산구 용산2가동(1117052000)","9,972","9,972","364","534","1,557","1,736","1,391","1,454","1,451","923","452","88","22","4,798","4,798","190","275","811","894","716","673","645","416","151","21","6","5,174","5,174","174","259","746","842","675","781","806","507","301","67","16"
"서울특별시 용산구 남영동(1117053000)","7,623","7,623","190","262","960","1,041","1,099","1,625","1,368","689","286","72","31","4,641","4,641","92","146","458","555","707","1,144","956","396","143","29","15","2,982","2,982","98","116","502","486","392","481","412","293","143","43","16"
"서울특별시 용산구 청파동(1117055500)","19,829","19,829","665","1,175","4,244","3,113","2,757","3,133","2,387","1,526","687","108","34","9,325","9,325","322","632","1,695","1,687","1,395","1,553","1,111","628","267","25","10","10,504","10,504","343","543","2,549","1,426","1,362","1,580","1,276","898","420","83","24"
"서울특별시 용산구 원효로제1동(1117056000)","16,089","16,089","1,318","868","2,458","3,695","2,628","2,209","1,619","842","363","70","19","7,748","7,748","670","448","1,039","1,805","1,357","1,093","788","370","151","22","5","8,341","8,341","648","420","1,419","1,890","1,271","1,116","831","472","212","48","14"
"서울특별시 용산구 원효로제2동(1117057000)","14,202","14,202","941","1,258","1,856","2,074","2,306","2,348","1,733","1,056","545","71","14","6,677","6,677","467","504","869","1,052","1,128","1,161","817","470","188","17","4","7,525","7,525","474","754","987","1,022","1,178","1,187","916","586","357","54","10"
"서울특별시 용산구 효창동(1117058000)","10,205","10,205","768","767","1,575","1,859","1,570","1,566","1,061","638","327","60","14","4,834","4,834","396","396","734","903","742","753","498","264","121","25","2","5,371","5,371","372","371","841","956","828","813","563","374","206","35","12"
"서울특별시 용산구 용문동(1117059000)","12,327","12,327","766","843","1,856","2,023","1,863","1,975","1,552","972","393","71","13","5,879","5,879","387","435","888","991","917","975","707","406","154","14","5","6,448","6,448","379","408","968","1,032","946","1,000","845","566","239","57","8"
"서울특별시 용산구 한강로동(1117062500)","20,444","20,444","1,122","997","3,138","4,043","2,867","3,464","2,544","1,422","662","142","43","9,858","9,858","583","526","1,409","1,918","1,404","1,722","1,292","662","275","53","14","10,586","10,586","539","471","1,729","2,125","1,463","1,742","1,252","760","387","89","29"
"서울특별시 용산구 이촌제1동(1117063000)","28,139","28,139","2,734","2,918","3,002","3,663","4,914","4,593","3,005","1,839","1,198","240","33","13,152","13,152","1,443","1,456","1,467","1,633","2,202","2,204","1,441","744","460","94","8","14,987","14,987","1,291","1,462","1,535","2,030","2,712","2,389","1,564","1,095","738","146","25"
"서울특별시 용산구 이촌제2동(1117064000)","8,727","8,727","563","514","965","1,470","1,257","1,406","1,337","770","367","64","14","4,101","4,101","290","261","476","746","620","651","598","328","117","12","2","4,626","4,626","273","253","489","724","637","755","739","442","250","52","12"
"서울특별시 용산구 이태원제1동(1117065000)","6,923","6,923","237","282","1,054","1,150","880","1,131","1,077","638","370","80","24","3,290","3,290","116","143","545","631","430","527","481","242","146","22","7","3,633","3,633","121","139","509","519","450","604","596","396","224","58","17"
"서울특별시 용산구 이태원제2동(1117066000)","9,285","9,285","432","494","1,409","1,656","1,421","1,300","1,208","841","424","85","15","4,276","4,276","225","235","691","826","675","583","502","351","161","24","3","5,009","5,009","207","259","718","830","746","717","706","490","263","61","12"
"서울특별시 용산구 한남동(1117068500)","21,176","21,176","1,178","1,162","2,784","4,038","3,379","3,291","2,781","1,639","727","162","35","10,185","10,185","630","587","1,397","1,987","1,676","1,576","1,292","699","284","47","10","10,991","10,991","548","575","1,387","2,051","1,703","1,715","1,489","940","443","115","25"
"서울특별시 용산구 서빙고동(1117069000)","13,187","13,187","787","1,471","1,802","1,522","2,468","2,219","1,418","806","602","86","6","6,328","6,328","408","739","890","739","1,165","1,112","699","323","219","31","3","6,859","6,859","379","732","912","783","1,303","1,107","719","483","383","55","3"
"서울특별시 용산구 보광동(1117070000)","14,216","14,216","466","792","2,228","2,156","2,095","2,489","2,040","1,262","566","99","23","7,039","7,039","254","446","1,248","1,190","1,052","1,219","886","517","187","33","7","7,177","7,177","212","346","980","966","1,043","1,270","1,154","745","379","66","16"
"서울특별시 성동구 (1120000000)","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251","143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185","331","72","150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335","854","179"
"서울특별시 성동구 왕십리제2동(1120052000)","17,085","17,085","1,227","1,208","2,498","2,942","2,647","2,749","2,094","1,191","444","65","20","8,309","8,309","629","618","1,194","1,476","1,324","1,328","1,017","527","172","17","7","8,776","8,776","598","590","1,304","1,466","1,323","1,421","1,077","664","272","48","13"
"서울특별시 성동구 왕십리도선동(1120053500)","27,081","27,081","2,376","1,570","4,404","4,765","4,032","4,414","3,053","1,623","710","111","23","12,914","12,914","1,210","806","2,038","2,226","2,021","2,093","1,516","720","249","29","6","14,167","14,167","1,166","764","2,366","2,539","2,011","2,321","1,537","903","461","82","17"
"서울특별시 성동구 마장동(1120054000)","22,785","22,785","1,207","1,623","4,372","3,274","3,023","3,712","3,006","1,743","709","97","19","11,244","11,244","612","819","2,181","1,688","1,534","1,817","1,483","795","284","27","4","11,541","11,541","595","804","2,191","1,586","1,489","1,895","1,523","948","425","70","15"
"서울특별시 성동구 사근동(1120055000)","11,932","11,932","423","780","4,642","1,592","1,153","1,287","953","754","301","36","11","6,099","6,099","226","337","2,516","891","601","634","436","326","117","9","6","5,833","5,833","197","443","2,126","701","552","653","517","428","184","27","5"
"서울특별시 성동구 행당제1동(1120056000)","14,077","14,077","1,011","995","2,215","2,286","2,172","2,270","1,683","977","389","67","12","6,794","6,794","516","471","1,078","1,122","1,051","1,105","843","431","152","22","3","7,283","7,283","495","524","1,137","1,164","1,121","1,165","840","546","237","45","9"
"서울특별시 성동구 행당제2동(1120057000)","24,063","24,063","1,820","2,113","3,027","3,713","4,079","3,927","2,804","1,741","718","99","22","11,289","11,289","904","974","1,423","1,762","1,969","1,921","1,282","751","271","24","8","12,774","12,774","916","1,139","1,604","1,951","2,110","2,006","1,522","990","447","75","14"
"서울특별시 성동구 응봉동(1120058000)","15,764","15,764","1,190","1,685","1,754","2,254","2,937","2,482","1,681","1,181","522","69","9","7,479","7,479","599","830","867","1,096","1,402","1,210","751","510","193","18","3","8,285","8,285","591","855","887","1,158","1,535","1,272","930","671","329","51","6"
"서울특별시 성동구 금호1가동(1120059000)","15,711","15,711","1,310","1,058","1,823","2,765","2,547","2,385","2,109","1,125","513","64","12","7,516","7,516","668","551","911","1,286","1,302","1,147","959","484","184","22","2","8,195","8,195","642","507","912","1,479","1,245","1,238","1,150","641","329","42","10"
"서울특별시 성동구 금호2.3가동(1120061500)","23,409","23,409","1,750","1,497","2,931","4,172","3,760","3,695","2,981","1,756","741","100","26","11,157","11,157","904","752","1,480","1,996","1,848","1,766","1,369","758","247","31","6","12,252","12,252","846","745","1,451","2,176","1,912","1,929","1,612","998","494","69","20"
"서울특별시 성동구 금호4가동(1120062000)","14,704","14,704","1,391","959","1,507","2,804","2,574","2,118","1,786","1,060","442","54","9","7,032","7,032","718","494","768","1,315","1,278","1,037","797","454","149","18","4","7,672","7,672","673","465","739","1,489","1,296","1,081","989","606","293","36","5"
"서울특별시 성동구 옥수동(1120064500)","26,661","26,661","2,584","1,655","3,010","5,087","4,504","3,943","3,205","1,766","743","136","28","12,417","12,417","1,317","835","1,376","2,264","2,226","1,825","1,454","779","296","37","8","14,244","14,244","1,267","820","1,634","2,823","2,278","2,118","1,751","987","447","99","20"
"서울특별시 성동구 성수1가제1동(1120065000)","16,553","16,553","1,037","1,111","2,555","2,904","2,404","3,048","2,115","942","383","46","8","8,284","8,284","553","576","1,337","1,449","1,162","1,548","1,079","421","139","17","3","8,269","8,269","484","535","1,218","1,455","1,242","1,500","1,036","521","244","29","5"
"서울특별시 성동구 성수1가제2동(1120066000)","13,452","13,452","767","905","2,153","2,477","2,098","2,059","1,689","896","351","42","15","6,608","6,608","391","453","1,052","1,203","1,023","1,072","844","433","121","11","5","6,844","6,844","376","452","1,101","1,274","1,075","987","845","463","230","31","10"
"서울특별시 성동구 성수2가제1동(1120067000)","16,589","16,589","830","896","2,351","2,610","2,320","3,151","2,617","1,242","486","71","15","8,682","8,682","435","458","1,258","1,421","1,225","1,715","1,388","570","198","12","2","7,907","7,907","395","438","1,093","1,189","1,095","1,436","1,229","672","288","59","13"
"서울특별시 성동구 성수2가제3동(1120069000)","11,177","11,177","576","540","2,019","1,967","1,465","1,849","1,524","824","359","44","10","5,672","5,672","296","273","938","1,045","750","991","827","390","141","18","3","5,505","5,505","280","267","1,081","922","715","858","697","434","218","26","7"
"서울특별시 성동구 송정동(1120072000)","10,725","10,725","531","599","1,713","1,641","1,558","1,966","1,616","748","299","46","8","5,664","5,664","272","329","888","895","856","1,077","869","349","116","12","1","5,061","5,061","259","270","825","746","702","889","747","399","183","34","7"
"서울특별시 성동구 용답동(1120079000)","11,788","11,788","419","621","2,069","1,652","1,747","2,193","1,618","1,017","410","38","4","6,227","6,227","219","315","966","897","1,003","1,296","895","472","156","7","1","5,561","5,561","200","306","1,103","755","744","897","723","545","254","31","3"
"서울특별시 광진구 (1121500000)","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218","167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466","361","54","179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384","916","164"
"서울특별시 광진구 화양동(1121571000)","22,658","22,658","381","713","9,653","4,383","2,189","2,091","1,701","1,050","408","66","23","10,734","10,734","182","330","4,131","2,301","1,218","1,107","794","480","165","21","5","11,924","11,924","199","383","5,522","2,082","971","984","907","570","243","45","18"
"서울특별시 광진구 군자동(1121573000)","19,930","19,930","889","1,047","4,493","3,637","2,627","2,899","2,364","1,366","532","66","10","9,841","9,841","461","546","2,128","1,868","1,375","1,459","1,150","629","211","13","1","10,089","10,089","428","501","2,365","1,769","1,252","1,440","1,214","737","321","53","9"
"서울특별시 광진구 중곡제1동(1121574000)","15,792","15,792","774","764","2,829","2,990","2,193","2,532","2,084","1,174","387","56","9","7,686","7,686","404","394","1,287","1,518","1,130","1,242","991","542","165","10","3","8,106","8,106","370","370","1,542","1,472","1,063","1,290","1,093","632","222","46","6"
"서울특별시 광진구 중곡제2동(1121575000)","21,943","21,943","1,208","1,408","3,915","3,932","3,006","3,571","2,833","1,494","496","71","9","10,394","10,394","623","709","1,749","1,908","1,486","1,679","1,325","699","200","13","3","11,549","11,549","585","699","2,166","2,024","1,520","1,892","1,508","795","296","58","6"
"서울특별시 광진구 중곡제3동(1121576000)","16,683","16,683","765","957","2,712","2,750","2,323","2,921","2,405","1,293","483","60","14","8,281","8,281","413","491","1,346","1,439","1,187","1,440","1,167","598","181","17","2","8,402","8,402","352","466","1,366","1,311","1,136","1,481","1,238","695","302","43","12"
"서울특별시 광진구 중곡제4동(1121577000)","29,387","29,387","1,483","1,950","4,493","4,387","4,178","5,323","4,363","2,305","767","111","27","14,401","14,401","774","1,049","2,256","2,194","2,122","2,530","2,051","1,083","309","25","8","14,986","14,986","709","901","2,237","2,193","2,056","2,793","2,312","1,222","458","86","19"
"서울특별시 광진구 능동(1121578000)","11,610","11,610","578","553","2,405","2,668","1,641","1,415","1,258","746","294","46","6","5,329","5,329","295","291","1,011","1,197","826","653","573","337","126","19","1","6,281","6,281","283","262","1,394","1,471","815","762","685","409","168","27","5"
"서울특별시 광진구 광장동(1121581000)","35,440","35,440","3,315","5,511","4,147","3,839","7,692","5,470","3,022","1,473","810","151","10","17,122","17,122","1,723","2,817","2,057","1,656","3,548","2,786","1,494","655","337","46","3","18,318","18,318","1,592","2,694","2,090","2,183","4,144","2,684","1,528","818","473","105","7"
"서울특별시 광진구 자양제1동(1121582000)","22,790","22,790","1,017","1,513","4,390","3,789","3,385","3,628","2,852","1,536","584","82","14","10,950","10,950","493","793","2,069","1,904","1,694","1,747","1,336","657","228","25","4","11,840","11,840","524","720","2,321","1,885","1,691","1,881","1,516","879","356","57","10"
"서울특별시 광진구 자양제2동(1121583000)","25,641","25,641","1,628","1,889","3,859","3,934","4,039","4,283","3,610","1,694","596","96","13","12,496","12,496","839","1,003","1,915","1,945","2,002","2,006","1,747","793","217","26","3","13,145","13,145","789","886","1,944","1,989","2,037","2,277","1,863","901","379","70","10"
"서울특별시 광진구 자양제3동(1121584000)","28,687","28,687","2,335","2,640","3,953","4,335","4,594","4,675","3,554","1,615","847","124","15","13,771","13,771","1,169","1,304","1,944","2,051","2,154","2,255","1,765","749","330","46","4","14,916","14,916","1,166","1,336","2,009","2,284","2,440","2,420","1,789","866","517","78","11"
"서울특별시 광진구 자양제4동(1121584700)","17,810","17,810","710","879","2,707","2,612","2,468","3,120","2,992","1,619","608","78","17","8,877","8,877","345","431","1,320","1,410","1,295","1,644","1,436","742","228","21","5","8,933","8,933","365","448","1,387","1,202","1,173","1,476","1,556","877","380","57","12"
"서울특별시 광진구 구의제1동(1121585000)","22,040","22,040","852","1,189","4,836","4,228","3,217","3,191","2,441","1,429","580","62","15","10,528","10,528","438","590","2,217","2,122","1,608","1,550","1,120","643","220","18","2","11,512","11,512","414","599","2,619","2,106","1,609","1,641","1,321","786","360","44","13"
"서울특별시 광진구 구의제2동(1121586000)","26,954","26,954","1,774","2,361","3,777","3,875","4,358","4,526","3,492","1,938","737","92","24","12,961","12,961","900","1,193","1,856","1,937","2,112","2,163","1,595","902","274","24","5","13,993","13,993","874","1,168","1,921","1,938","2,246","2,363","1,897","1,036","463","68","19"
"서울특별시 광진구 구의제3동(1121587000)","29,317","29,317","1,863","2,557","4,771","4,624","4,572","4,896","3,489","1,696","721","116","12","13,939","13,939","918","1,278","2,235","2,246","2,126","2,339","1,675","805","275","37","5","15,378","15,378","945","1,279","2,536","2,378","2,446","2,557","1,814","891","446","79","7"
"서울특별시 동대문구 (1123000000)","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313","169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574","463","94","173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119","219"
"서울특별시 동대문구 용신동(1123053600)","31,190","31,190","1,288","1,425","6,136","5,359","4,238","4,692","4,136","2,603","1,130","157","26","15,822","15,822","669","751","2,901","2,803","2,326","2,521","2,103","1,214","472","54","8","15,368","15,368","619","674","3,235","2,556","1,912","2,171","2,033","1,389","658","103","18"
"서울특별시 동대문구 제기동(1123054500)","24,994","24,994","1,034","1,396","4,415","3,268","3,136","3,846","3,927","2,632","1,158","155","27","12,826","12,826","541","715","2,407","1,820","1,721","2,027","1,898","1,195","448","47","7","12,168","12,168","493","681","2,008","1,448","1,415","1,819","2,029","1,437","710","108","20"
"서울특별시 동대문구 전농제1동(1123056000)","30,204","30,204","1,890","1,915","4,680","4,390","4,337","4,921","4,228","2,550","1,107","140","46","15,170","15,170","980","948","2,381","2,270","2,277","2,530","2,138","1,149","441","42","14","15,034","15,034","910","967","2,299","2,120","2,060","2,391","2,090","1,401","666","98","32"
"서울특별시 동대문구 전농제2동(1123057000)","19,181","19,181","1,251","1,721","2,381","2,301","3,058","3,293","2,719","1,616","757","73","11","9,228","9,228","634","844","1,200","1,159","1,479","1,613","1,265","676","328","25","5","9,953","9,953","617","877","1,181","1,142","1,579","1,680","1,454","940","429","48","6"
"서울특별시 동대문구 답십리제1동(1123060000)","29,099","29,099","2,743","1,975","4,017","5,277","4,712","4,290","3,269","1,865","811","109","31","14,092","14,092","1,380","1,018","1,867","2,509","2,448","2,092","1,591","845","301","30","11","15,007","15,007","1,363","957","2,150","2,768","2,264","2,198","1,678","1,020","510","79","20"
"서울특별시 동대문구 답십리제2동(1123061000)","29,209","29,209","1,823","2,012","3,837","4,486","4,232","4,979","4,201","2,493","1,001","123","22","14,181","14,181","926","993","1,920","2,286","2,130","2,431","1,975","1,121","366","23","10","15,028","15,028","897","1,019","1,917","2,200","2,102","2,548","2,226","1,372","635","100","12"
"서울특별시 동대문구 장안제1동(1123065000)","38,710","38,710","2,543","2,635","5,292","6,346","6,385","6,070","5,442","2,881","942","147","27","19,238","19,238","1,311","1,351","2,518","3,274","3,326","2,999","2,637","1,391","381","42","8","19,472","19,472","1,232","1,284","2,774","3,072","3,059","3,071","2,805","1,490","561","105","19"
