"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"인천광역시 중구 북성동(2811060000)","3,253","3,253","120","225","327","357","467","622","558","388","152","29","8","1,674","1,674","79","110","194","200","261","329","258","178","51","12","2","1,579","1,579","41","115","133","157","206","293","300","210","101","17","6"
"인천광역시 중구 송월동(2811061000)","4,998","4,998","304","443","601","590","742","907","711","486","171","34","9","2,497","2,497","150","209","340","319","408","440","352","206","59","9","5","2,501","2,501","154","234","261","271","334","467","359","280","112","25","4"
"인천광역시 중구 영종동(2811062000)","38,248","38,248","5,529","3,943","3,690","7,631","7,442","4,540","3,201","1,615","548","98","11","19,834","19,834","2,798","2,034","1,952","3,873","4,143","2,431","1,580","795","197","27","4","18,414","18,414","2,731","1,909","1,738","3,758","3,299","2,109","1,621","820","351","71","7"
"인천광역시 중구 운서동(2811062800)","25,227","25,227","2,361","3,529","4,363","4,066","5,609","2,671","1,347","974","268","36","3","13,244","13,244","1,204","1,889","2,166","2,226","3,047","1,535","637","429","103","7","1","11,983","11,983","1,157","1,640","2,197","1,840","2,562","1,136","710","545","165","29","2"
"인천광역시 중구 용유동(2811063000)","4,566","4,566","135","159","370","414","617","1,139","970","540","189","29","4","2,543","2,543","59","94","225","263","394","656","498","281","64","8","1","2,023","2,023","76","65","145","151","223","483","472","259","125","21","3"
"인천광역시 동구 (2814000000)","69,487","69,487","5,471","6,075","7,363","9,778","11,179","11,105","9,397","6,305","2,400","348","66","35,057","35,057","2,852","3,198","3,894","5,159","6,066","5,731","4,503","2,773","763","101","17","34,430","34,430","2,619","2,877","3,469","4,619","5,113","5,374","4,894","3,532","1,637","247","49"
"인천광역시 동구 만석동(2814051000)","7,714","7,714","709","698","815","1,127","1,326","1,256","908","578","253","35","9","3,969","3,969","381","369","426","593","728","685","468","245","62","9","3","3,745","3,745","328","329","389","534","598","571","440","333","191","26","6"
"인천광역시 동구 화수1.화평동(2814052500)","6,902","6,902","393","661","794","768","1,099","1,156","1,012","708","257","43","11","3,426","3,426","201","335","424","399","588","593","484","313","78","9","2","3,476","3,476","192","326","370","369","511","563","528","395","179","34","9"
"인천광역시 동구 화수2동(2814053000)","8,650","8,650","589","780","930","1,112","1,374","1,394","1,194","922","312","37","6","4,295","4,295","284","409","489","636","725","713","540","390","97","12","0","4,355","4,355","305","371","441","476","649","681","654","532","215","25","6"
"인천광역시 동구 송현1.2동(2814055500)","11,585","11,585","1,153","1,090","1,235","1,955","1,891","1,714","1,422","816","270","32","7","5,742","5,742","597","564","629","978","977","837","676","370","102","10","2","5,843","5,843","556","526","606","977","914","877","746","446","168","22","5"
"인천광역시 동구 송현3동(2814057000)","4,216","4,216","219","291","491","517","642","756","633","449","195","21","2","2,141","2,141","103","151","261","285","359","415","314","185","62","6","0","2,075","2,075","116","140","230","232","283","341","319","264","133","15","2"
"인천광역시 동구 송림1동(2814058000)","2,751","2,751","138","179","279","342","380","443","501","320","150","17","2","1,373","1,373","72","94","159","192","211","215","235","145","46","4","0","1,378","1,378","66","85","120","150","169","228","266","175","104","13","2"
"인천광역시 동구 송림2동(2814059000)","3,287","3,287","102","201","330","310","431","622","614","455","185","34","3","1,688","1,688","56","115","197","174","253","319","300","195","67","11","1","1,599","1,599","46","86","133","136","178","303","314","260","118","23","2"
"인천광역시 동구 송림3.5동(2814060500)","9,135","9,135","756","873","939","1,347","1,535","1,397","1,157","796","282","47","6","4,655","4,655","416","476","496","707","835","708","556","352","89","18","2","4,480","4,480","340","397","443","640","700","689","601","444","193","29","4"
"인천광역시 동구 송림4동(2814061000)","4,541","4,541","467","437","501","698","829","733","478","279","95","19","5","2,359","2,359","238","213","257","364","464","395","245","137","38","5","3","2,182","2,182","229","224","244","334","365","338","233","142","57","14","2"
"인천광역시 동구 송림6동(2814063000)","7,344","7,344","789","609","726","1,236","1,174","1,095","908","537","230","33","7","3,685","3,685","425","332","382","618","626","563","415","249","66","9","0","3,659","3,659","364","277","344","618","548","532","493","288","164","24","7"
"인천광역시 동구 금창동(2814064000)","3,362","3,362","156","256","323","366","498","539","570","445","171","30","8","1,724","1,724","79","140","174","213","300","288","270","192","56","8","4","1,638","1,638","77","116","149","153","198","251","300","253","115","22","4"
