"행정구역별(1)",행정구역별(2),2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(1)",행정구역별(2),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"서울특별시",송파구,8.7,58341,673115,9.2,61592,668415,9.8,64891,664738,10.3,68147,660302,10.8,70918,657831,11.5,76442,664496,12.2,81211,666635,12.9,87182,675961,14.0,93309,667960,14.8,97503,658338,15.7,103361,658801,16.6,108643,654166
"서울특별시",강동구,9.2,44850,487905,9.9,47722,483379,10.5,50167,476597,11.3,51848,458658,12.0,53121,444168,12.9,56080,436223,13.7,58669,427573,14.5,63341,436067,15.2,69903,459970,16.0,73943,462664,17.0,78191,460067,18.0,82815,459167
"부산광역시",소계,12.5,442199,3538484,13.3,467416,3527635,14.0,492116,3519401,14.6,514630,3513777,15.3,536064,3498529,16.3,565527,3470653,17.1,589961,3441453,18.2,620123,3413841,19.4,657711,3391946,20.4,681885,3350380,21.5,712412,3317812,22.6,745199,3293362
"부산광역시",중구,17.8,8570,48148,18.7,8850,47345,19.6,9154,46737,20.7,9470,45816,21.5,9700,45208,22.8,10082,44218,24.3,10380,42795,25.6,10744,41910,27.2,11315,41523,27.7,11206,40524,28.9,11468,39689,30.7,11866,38619
"부산광역시",서구,17.5,21178,120828,18.5,21941,118783,19.4,22902,118115,20.3,23517,115963,21.2,23906,112973,22.2,24462,110039,22.8,25205,110534,24.1,26069,108229,25.3,27346,108135,26.2,27529,105164,27.0,28432,105192,28.1,29273,104089
"부산광역시",동구,18.3,17991,98529,19.5,18734,96011,20.6,19493,94565,21.7,19945,92069,22.6,20334,89826,23.7,21076,88868,24.6,21407,86912,25.2,22257,88165,26.3,23381,88901,27.1,23760,87679,28.2,24354,86462,28.6,25093,87792
"부산광역시",영도구,16.9,23663,139765,18.1,24625,135816,19.4,25637,132102,20.4,26419,129385,21.5,27192,126362,22.9,28293,123521,24.2,29072,120109,25.8,30116,116711,27.8,31483,113342,28.9,31981,110638,30.3,32778,108156,31.6,33675,106548
"부산광역시",부산진구,13.1,51572,392731,13.9,54218,389765,14.7,56777,387378,15.4,58579,381572,16.1,60541,376526,16.9,62942,371703,17.8,64599,362357,18.8,67133,357880,19.7,70896,359886,20.5,72339,353159,21.3,75685,355917,22.1,79321,359508
"부산광역시",동래구,11.9,33132,278767,12.7,35153,276689,13.4,37045,275971,14.1,38437,272837,14.8,40349,272745,15.8,42697,270727,16.6,44255,266515,17.3,46863,271247,18.4,49927,270745,19.4,51829,266866,20.1,54881,273226,21.2,57512,270815
"부산광역시",남구,13.2,38346,291175,13.9,40543,291770,14.8,42392,286989,15.6,44110,283101,16.4,45778,278779,17.5,47964,273854,17.9,50151,279917,18.8,51717,274480,20.1,53898,267731,21.1,55386,262069,22.2,56961,256333,23.2,58953,254185
